id,first_name,last_name,monthly_income,happiness_monthly_income,monthly_saved_money,debt_amount,country,gender,birth_year,weekly_freetime_duration_minute,sleep_duration_hours_daily,child_count,pet_count,reading_book_count_yearly,yearly_vacation_count,daily_socilmedia_duration_minutes,happiness_score,work_situation,safety_feels_at_home,relationship_situation,doing_exercise,state_of_religiosity,bad_habits,family_relation_situation,trust_country_law,education_status,is_parents_alive
4739,Doreen,Bridell,15658,0,8658,14259,Indonesia,Female,1992,127,9,2,3,55,6,15,7,Tam Zamanli,Evet,Bekar,Hayir,Dindar Degil,Yok,NULL,Hayir,Lisans,NULL
4747,Price,Menhenitt,6397,0,6397,37028,Sweden,Male,1992,86,6,2,0,NULL,4,120,6,Yari Zamanli,Evet,Bekar,Hayir,Dindar Degil,Yok,Cok Iyi,Evet,Lise,Anne Baba Yasamiyor
4755,Alex,Georgel,14838,1,1376,36544,Brazil,Male,1992,165,5,2,0,55,4,120,6,Tam Zamanli,NULL,Bekar,Hayir,Dindar Degil,Yok,Normal,Hayir,Lisans,NULL
4763,Filippa,Zelley,18032,1,7294,15430,Philippines,Female,1992,188,5,2,2,58,4,120,6,Tam Zamanli,Evet,NULL,Hayir,Dindar Degil,Yok,Normal,Evet,Yuksek Lisans,Baba Yasiyor
4771,Wilek,Manlow,18361,1,12383,3902,Portugal,Male,1992,132,7,2,3,65,8,15,8,Uzaktan,Evet,Evli,Hayir,Dindar,Yok,NULL,Evet,Yuksek Lisans,Baba Yasiyor
4779,Adele,Coode,28421,1,4375,38179,Bangladesh,Female,1992,167,6,2,3,143,11,15,10,Tam Zamanli,NULL,Evli,Hayir,Dindar,Yok,NULL,Evet,Lisans,Anne Baba Yasamiyor
4787,Immanuel,Galway,19510,1,9267,11276,Portugal,Male,1992,155,7,2,3,143,NULL,15,10,Uzaktan,Evet,Evli,Hayir,Dindar,Yok,Cok Iyi,NULL,Lisans,Baba Yasiyor
4795,Aimee,Degnen,16189,1,15515,9638,Indonesia,Female,1990,115,7,2,2,55,6,15,7,Tam Zamanli,Evet,Bekar,Hayir,Dindar Degil,Yok,Cok Iyi,Evet,Lisans,Anne Baba Yasamiyor
4811,Cornela,Beever,15437,0,13097,47399,France,Female,1992,167,6,2,1,55,4,150,6,Uzaktan,Hayir,Evli,Hayir,Dindar Degil,Yok,Normal,Evet,Lise,NULL
4819,Lusa,Lightwing,25475,0,19600,44857,Cuba,Female,1995,60,4,1,0,23,1,30,1,Tam Zamanli,Evet,Evli,Hayir,Dindar Degil,Var,Kotu,Evet,Ortaokul,Baba Yasiyor
4827,Kacie,Faichney,13229,1,1692,29202,North Korea,Female,1986,158,9,2,2,143,11,15,10,Uzaktan,Hayir,Evli,NULL,Dindar,Yok,Normal,Evet,Lisans,Baba Yasiyor
4867,Kassi,Farnham,29424,1,4744,13531,China,Female,1995,155,7,2,3,72,10,15,9,Tam Zamanli,Evet,Bekar,Hayir,Dindar,Yok,Normal,Evet,Yuksek Lisans,Baba Yasiyor
4891,Hale,Frankel,29263,0,945,12570,Philippines,Male,1986,91,5,4,0,4,1,30,1,Uzaktan,Evet,Bekar,Hayir,Dindar Degil,Var,NULL,Evet,Ortaokul,Anne Baba Yasamiyor
4899,Cthrine,Ropars,10451,0,8842,19730,Indonesia,Female,1998,82,NULL,0,0,27,0,150,1,Uzaktan,Evet,Bekar,Hayir,Dindar Degil,Var,Normal,Hayir,Ortaokul,Baba Yasiyor
4931,Arlee,Torricella,20158,0,4410,45044,Panama,Female,1996,154,9,2,3,55,6,15,7,Uzaktan,Hayir,Bekar,Hayir,Dindar Degil,Yok,Normal,Hayir,Lisans,Baba Yasiyor
4947,Al,Britzius,21270,1,6905,7582,Azerbaijan,Male,1986,138,11,2,3,63,8,15,8,Yari Zamanli,Hayir,Evli,Hayir,Dindar,Yok,Cok Iyi,Evet,Lisans,Anne Baba Yasamiyor
4955,Helen,Woodrooffe,26118,1,17066,25864,Ukraine,Male,1986,130,6,2,3,63,8,15,8,Uzaktan,Evet,Evli,Hayir,Dindar,Yok,Normal,Evet,NULL,Baba Yasiyor
4979,Leonerd,Harris,29325,0,6114,10479,Poland,Male,1993,85,8,2,0,26,1,90,1,Uzaktan,Evet,Bekar,Hayir,Dindar Degil,Var,Normal,Evet,Ortaokul,Anne Baba Yasamiyor
4987,Averil,Pyke,17797,1,2290,29794,Russia,Female,1986,136,7,2,2,59,8,15,8,Tam Zamanli,Hayir,Bekar,Hayir,Dindar,Yok,Normal,Evet,Lisans,Anne Baba Yasamiyor
4995,Yolanda,Krollman,26712,1,8236,22523,Thailand,Female,1990,NULL,6,2,NULL,63,8,15,8,Tam Zamanli,Evet,Bekar,Hayir,Dindar,Yok,Cok Iyi,Evet,Yuksek Lisans,Anne Baba Yasamiyor
1,Marsh,Murdie,15374,1,4233,27030,China,Male,1990,147,6,3,3,63,8,15,8,NULL,Hayir,Evli,Hayir,Dindar,Yok,Cok Iyi,Evet,Lisans,Baba Yasiyor
25,Temple,Beteriss,14946,1,3409,27636,Indonesia,Male,2000,194,7,2,2,NULL,11,15,10,NULL,Hayir,Bekar,Hayir,Dindar,Yok,Normal,Evet,Lisans,Anne Baba Yasamiyor
41,Guilbert,Wheatcroft,28265,1,11326,26525,Vietnam,Male,1998,155,6,4,3,143,11,15,10,Yari Zamanli,Hayir,Evli,Hayir,Dindar,Yok,Normal,Evet,Yuksek Lisans,Anne Baba Yasamiyor
65,Tomasina,Reek,7292,0,7292,3706,Portugal,Female,1999,75,5,4,0,25,1,60,1,Uzaktan,Evet,Bekar,Hayir,Dindar Degil,Var,Kotu,Evet,Ortaokul,Anne Baba Yasamiyor
81,Adrianne,Learmont,4245,0,4245,49034,Peru,Female,1992,63,5,2,0,NULL,1,150,1,NULL,Evet,NULL,Hayir,Dindar Degil,Var,Normal,Hayir,NULL,Anne Baba Yasamiyor
89,Glennis,Cullnean,5872,1,5872,11674,China,Female,1999,65,6,2,1,4,3,120,5,Uzaktan,Hayir,Evli,Hayir,Dindar Degil,Yok,Normal,Hayir,Lisans,Anne Baba Yasamiyor
97,Manny,Wakelam,15776,1,10776,40129,Philippines,Male,1995,198,7,3,2,143,11,15,10,Uzaktan,Hayir,Evli,Hayir,Dindar,NULL,Normal,Evet,Yuksek Lisans,Anne Baba Yasamiyor
113,Sara,Duffield,15721,1,8721,21681,Indonesia,Male,1999,115,10,2,2,55,6,15,7,Tam Zamanli,Hayir,NULL,Hayir,Dindar Degil,Yok,Cok Iyi,Hayir,Lisans,Anne Baba Yasamiyor
129,Kim,Kealey,18493,0,5346,19451,Indonesia,Female,1991,194,4,1,2,3,3,120,5,Uzaktan,Hayir,Bekar,Hayir,Dindar Degil,Yok,Normal,Evet,Lise,Anne Baba Yasamiyor
137,Flossi,Hesbrook,NULL,1,13617,14275,Russia,Female,1986,133,9,2,3,75,10,15,9,Uzaktan,Evet,Evli,Hayir,Dindar,Yok,Normal,Evet,Yuksek Lisans,Anne Baba Yasamiyor
169,Victoria,Orth,20204,1,NULL,29782,Brazil,Female,1993,155,6,3,3,143,11,15,10,Tam Zamanli,Hayir,Bekar,Hayir,NULL,Yok,Normal,Evet,Yuksek Lisans,Baba Yasiyor
177,Marietta,Pincott,25998,0,10850,13322,China,Male,1986,91,6,2,0,NULL,1,30,1,NULL,Evet,Evli,Hayir,Dindar Degil,Var,Normal,Hayir,Lise,Anne Baba Yasamiyor
185,Rriocard,Roblett,4827,0,3329,41548,Armenia,Male,2000,65,4,1,0,4,NULL,30,1,Uzaktan,Evet,Evli,Hayir,Dindar Degil,Var,Normal,Hayir,Lise,Anne Baba Yasamiyor
193,Rosalynd,McDool,NULL,0,1226,47240,Poland,Female,1986,115,8,2,3,55,6,15,7,Uzaktan,Evet,Bekar,Hayir,Dindar Degil,Yok,Cok Iyi,Hayir,Lisans,Baba Yasiyor
217,Karlene,Peirson,16551,0,9551,19724,Russia,Female,1990,135,6,2,2,63,8,15,8,Uzaktan,Evet,Evli,Hayir,Dindar,Yok,Normal,Evet,Yuksek Lisans,Anne Baba Yasamiyor
225,Sisile,Carvell,15167,1,1877,24435,Poland,Female,1997,175,8,2,2,75,10,0,9,Yari Zamanli,Evet,Evli,Hayir,Dindar,Yok,Normal,Evet,Lisans,Anne Baba Yasamiyor
233,Dell,Starton,16389,1,15785,3199,Peru,Male,1989,197,6,2,2,55,6,15,7,Yari Zamanli,Hayir,Evli,Hayir,Dindar Degil,Yok,Normal,Evet,Lisans,Anne Baba Yasamiyor
241,Kylie,Fishe,24047,1,13748,37597,China,Female,1994,135,8,2,3,63,8,15,8,NULL,Hayir,Bekar,Hayir,Dindar,Yok,Normal,Evet,Yuksek Lisans,Anne Baba Yasamiyor
249,Mitch,Slay,15107,1,925,1967,Spain,Male,1989,135,8,2,3,67,8,NULL,8,Tam Zamanli,Evet,Evli,Hayir,Dindar,Yok,Normal,Evet,Lisans,Anne Baba Yasamiyor
257,Mab,Harris,19487,1,13103,33583,Syria,Female,1992,170,7,2,2,138,11,NULL,10,Yari Zamanli,Evet,NULL,Hayir,Dindar,Yok,Cok Iyi,Evet,Yuksek Lisans,Anne Baba Yasamiyor
281,Hilliary,Granville,15050,1,4305,29952,Kazakhstan,Female,1998,200,8,2,2,67,8,15,8,Tam Zamanli,Evet,Bekar,Hayir,Dindar,Yok,Cok Iyi,Evet,Yuksek Lisans,Baba Yasiyor
289,Arnold,Beckinsale,19055,1,933,16674,Finland,Male,1989,178,7,2,3,143,11,15,10,Uzaktan,Evet,Bekar,Hayir,Dindar,Yok,Normal,Evet,Yuksek Lisans,Anne Baba Yasamiyor
313,Atlanta,Cosens,15352,1,NULL,14517,Bolivia,Female,1989,194,NULL,2,2,66,NULL,15,8,Tam Zamanli,Evet,Evli,Hayir,Dindar,Yok,Cok Iyi,Evet,Lisans,Anne Baba Yasamiyor
321,Tim,Pauleit,27458,1,12308,6726,United States,Male,1989,169,9,4,3,NULL,11,15,10,Tam Zamanli,Hayir,Evli,Hayir,Dindar,Yok,Normal,Evet,Yuksek Lisans,Anne Baba Yasamiyor
337,Fredrick,Dunkerly,20049,1,2341,33981,China,Male,1989,155,11,2,3,75,10,15,9,NULL,Evet,Bekar,Hayir,Dindar,Yok,Cok Iyi,Evet,Lisans,Baba Yasiyor
353,Emmott,Surman,18561,1,18479,45820,China,Male,1989,NULL,8,2,2,64,8,15,8,NULL,Hayir,Bekar,Hayir,Dindar,Yok,Normal,Evet,Yuksek Lisans,Anne Baba Yasamiyor
361,Ethan,Derham,15184,1,3950,47511,China,Male,1992,115,8,3,2,55,6,15,7,NULL,Evet,Bekar,Hayir,Dindar Degil,NULL,Normal,NULL,Lisans,Baba Yasiyor
369,Neale,Franey,9980,1,590,43042,Panama,Male,1996,90,5,2,2,56,4,120,6,Tam Zamanli,Hayir,Evli,Hayir,Dindar Degil,Yok,Cok Iyi,Evet,Lise,Baba Yasiyor
377,Karin,Wegner,18025,0,13294,26284,Nigeria,Male,1989,27,8,2,0,15,NULL,120,5,Yari Zamanli,Evet,Bekar,Hayir,Dindar Degil,Yok,Normal,Hayir,Lisans,Anne Baba Yasamiyor
385,Silva,Sammars,29763,1,907,1357,China,Female,1989,173,6,2,2,143,11,15,10,Tam Zamanli,Evet,Evli,NULL,Dindar,Yok,Cok Iyi,Evet,Lisans,Anne Baba Yasamiyor
393,Bunni,McElwee,15243,1,5686,3892,Portugal,Female,2000,169,6,4,3,75,10,15,9,Tam Zamanli,Evet,Evli,Hayir,Dindar,Yok,Normal,Evet,NULL,Baba Yasiyor
401,Jorey,McGourty,10743,1,10743,16767,Portugal,Female,1989,117,4,3,2,26,3,120,5,Tam Zamanli,Evet,Bekar,Hayir,Dindar Degil,Yok,Cok Iyi,Hayir,NULL,Anne Baba Yasamiyor
409,Mar,Owers,15427,1,10427,28765,Nigeria,Male,1995,177,9,3,3,63,8,15,8,Tam Zamanli,Evet,Evli,Hayir,Dindar,Yok,Cok Iyi,Evet,Yuksek Lisans,Anne Baba Yasamiyor
441,Darleen,Petrol,21107,NULL,18740,13983,Poland,Male,1989,85,4,2,0,55,4,150,6,Uzaktan,NULL,Evli,Hayir,Dindar Degil,Yok,Cok Iyi,Evet,Lisans,Anne Baba Yasamiyor
473,Ash,Bohlmann,15390,1,6229,14881,Philippines,Male,1989,155,9,2,3,143,11,15,10,Tam Zamanli,Evet,Bekar,Hayir,Dindar,Yok,Cok Iyi,Evet,Yuksek Lisans,NULL
481,Redford,Oldacres,22570,1,9865,7262,Indonesia,Male,1995,136,6,NULL,3,64,8,15,8,Uzaktan,NULL,Evli,Hayir,Dindar,Yok,Cok Iyi,Evet,Yuksek Lisans,Anne Baba Yasamiyor
489,Bryant,Warrior,23028,1,1382,14144,Peru,Male,1997,178,6,3,2,143,11,15,10,Yari Zamanli,Hayir,Bekar,Hayir,Dindar,Yok,Cok Iyi,Evet,Lisans,Anne Baba Yasamiyor
497,Jeramie,Guterson,23523,1,10271,12929,Indonesia,Male,1989,167,8,2,2,NULL,10,15,9,Uzaktan,Hayir,Evli,Hayir,Dindar,Yok,Cok Iyi,Evet,Lisans,Anne Baba Yasamiyor
505,Georas,Verlinde,27407,0,6900,27270,Peru,Male,1993,68,8,4,1,55,4,150,6,Tam Zamanli,Evet,Bekar,Hayir,Dindar Degil,Yok,Cok Iyi,Evet,Lise,Anne Baba Yasamiyor
521,Gardener,Exroll,18436,0,16438,14564,Thailand,Male,1989,130,7,2,2,64,NULL,0,8,Uzaktan,Evet,Evli,Hayir,Dindar,Yok,Cok Iyi,Evet,NULL,Anne Baba Yasamiyor
529,Jesse,Bilton,22428,1,NULL,6888,Philippines,Male,1989,164,6,2,3,72,10,15,9,Tam Zamanli,Hayir,Evli,Hayir,NULL,Yok,Cok Iyi,NULL,Lisans,Baba Yasiyor
537,Mariel,Schechter,16051,1,9051,42125,Nigeria,Female,1989,158,7,3,3,75,10,15,9,Tam Zamanli,Evet,Bekar,Hayir,Dindar,Yok,Normal,Evet,Lisans,Anne Baba Yasamiyor
545,Sabra,Penas,15377,1,4575,25156,Indonesia,Female,1989,134,6,2,3,75,10,15,9,Uzaktan,Hayir,Bekar,Hayir,NULL,Yok,Cok Iyi,Evet,Yuksek Lisans,Baba Yasiyor
553,Kevin,Nel,8542,0,6376,31929,Hungary,Male,1997,68,4,2,0,29,1,150,1,Tam Zamanli,Hayir,Bekar,Hayir,Dindar Degil,Var,Normal,Hayir,Ortaokul,Baba Yasiyor
569,Aaren,Ickovici,17440,1,13415,38925,Philippines,Female,1989,158,7,2,2,143,11,15,10,Uzaktan,Evet,Evli,Hayir,Dindar,Yok,Cok Iyi,Evet,Lisans,Baba Yasiyor
577,Fredra,Adriano,16154,1,1584,11675,Greece,Female,1989,137,6,2,3,63,8,15,8,Yari Zamanli,Hayir,Evli,Hayir,Dindar,Yok,Normal,Evet,NULL,Anne Baba Yasamiyor
585,Danya,Foulcher,6656,0,6656,15948,Indonesia,Female,1989,68,4,3,0,4,0,30,1,Tam Zamanli,Evet,Evli,Hayir,Dindar Degil,Var,Normal,Evet,NULL,Baba Yasiyor
609,Elbertina,Dallywater,10904,0,10904,17795,Poland,Female,1989,68,4,2,0,4,1,30,1,Tam Zamanli,Hayir,Evli,Hayir,Dindar Degil,Var,Kotu,Hayir,Lise,Baba Yasiyor
633,Lilia,Hummerston,10045,0,10045,9876,Spain,Male,1992,NULL,4,3,0,25,1,30,1,Uzaktan,Evet,Bekar,Hayir,Dindar Degil,Var,Kotu,Evet,Lise,NULL
641,Giorgi,Keaveney,26783,1,17849,47761,Russia,Male,1991,NULL,8,3,2,NULL,8,15,8,NULL,Evet,Evli,Hayir,NULL,Yok,Cok Iyi,Evet,Yuksek Lisans,Anne Baba Yasamiyor
649,Godfrey,Ruberti,28796,1,7685,39760,Poland,Male,1989,114,6,NULL,NULL,4,1,150,5,Tam Zamanli,Evet,Bekar,Hayir,Dindar Degil,Yok,Cok Iyi,Hayir,Lisans,Baba Yasiyor
657,Byrom,Litherland,27209,1,17310,3072,Chile,Male,1995,NULL,8,4,3,55,6,15,7,Yari Zamanli,Hayir,NULL,Hayir,Dindar Degil,Yok,Normal,Hayir,Lisans,Anne Baba Yasamiyor
713,Cornell,O'Cassidy,13273,0,1736,17891,Czech Republic,Male,1989,NULL,6,4,3,64,8,15,8,Uzaktan,Evet,Evli,Hayir,Dindar,Yok,Cok Iyi,Evet,Lisans,Anne Baba Yasamiyor
721,Jobina,D'eathe,24062,0,5583,42485,Czech Republic,Female,1989,116,NULL,2,1,55,4,120,6,Tam Zamanli,Evet,Bekar,Hayir,Dindar Degil,Yok,Normal,Hayir,Lisans,Baba Yasiyor
729,Rob,Tuffell,21906,0,687,37612,Mongolia,Male,1987,85,5,3,0,4,1,30,1,Yari Zamanli,Evet,Bekar,Hayir,Dindar Degil,NULL,Kotu,NULL,Ortaokul,Baba Yasiyor
753,Aubert,Ewbanck,18059,1,5348,31739,Czech Republic,Male,1990,135,10,3,3,55,6,15,7,NULL,Hayir,Evli,Hayir,Dindar Degil,Yok,Normal,NULL,NULL,Anne Baba Yasamiyor
769,Andonis,Bexon,24185,1,15616,38692,France,Male,1993,125,9,4,0,10,3,150,5,Tam Zamanli,Hayir,Evli,Hayir,Dindar Degil,Yok,NULL,Hayir,NULL,Anne Baba Yasamiyor
777,Pris,Finnis,18630,1,13630,3035,Thailand,Female,1994,135,6,2,2,NULL,6,15,7,Yari Zamanli,Evet,NULL,Hayir,Dindar Degil,Yok,Normal,Evet,Yuksek Lisans,Baba Yasiyor
809,Colette,Dowry,19414,1,NULL,1185,Philippines,Female,1989,165,7,2,3,143,11,NULL,10,Uzaktan,Hayir,Bekar,Hayir,Dindar,Yok,Normal,Evet,Yuksek Lisans,Anne Baba Yasamiyor
817,Emalee,Derks,27253,1,8624,43026,Philippines,Female,1989,133,7,3,2,63,8,15,8,Tam Zamanli,Evet,Evli,Hayir,Dindar,Yok,Cok Iyi,Evet,Lisans,Baba Yasiyor
825,Nerty,Woolfitt,15308,0,1257,47682,Albania,Female,1999,194,8,2,NULL,NULL,6,15,7,Yari Zamanli,Hayir,Evli,Hayir,Dindar Degil,Yok,Normal,Evet,Lisans,Anne Baba Yasamiyor
833,Shurlock,Mucklow,26849,1,5037,20021,China,Male,1997,136,7,2,2,63,8,0,8,Tam Zamanli,Evet,Evli,Hayir,Dindar,Yok,Normal,Evet,Yuksek Lisans,Baba Yasiyor
841,Danita,Gavozzi,27627,1,285,9411,Poland,Female,1989,55,9,2,2,55,4,120,6,Uzaktan,Hayir,Evli,Hayir,Dindar Degil,Yok,Normal,Hayir,Lise,Anne Baba Yasamiyor
849,Andra,Bosward,25431,0,NULL,30015,China,Female,1989,84,4,2,0,5,1,30,1,Tam Zamanli,Hayir,Evli,Hayir,Dindar Degil,Var,Kotu,Evet,Ortaokul,Anne Baba Yasamiyor
873,Bran,Redfield,15370,1,619,25140,Portugal,Male,2000,167,4,3,0,50,4,150,6,Tam Zamanli,Hayir,Evli,Hayir,Dindar Degil,Yok,Normal,Hayir,Lise,Anne Baba Yasamiyor
881,Padgett,Lewsie,14093,1,2556,23054,Guinea,Male,1989,165,6,4,2,75,10,15,9,Uzaktan,Hayir,NULL,Hayir,Dindar,Yok,NULL,Evet,Lisans,Anne Baba Yasamiyor
897,Germain,Britnell,17742,1,5142,8003,Netherlands,Female,1989,139,8,2,2,75,10,15,9,Yari Zamanli,Hayir,Bekar,Hayir,Dindar,Yok,Normal,Evet,Lisans,Anne Baba Yasamiyor
905,Astrix,Cattrall,9061,0,NULL,36519,Sweden,Female,1989,68,10,2,2,4,NULL,120,5,Uzaktan,Evet,Bekar,Hayir,Dindar Degil,Yok,Normal,Evet,Lisans,Anne Baba Yasamiyor
913,Howard,Plewes,16829,1,9829,8318,Portugal,Male,1994,153,6,2,3,146,11,15,10,Uzaktan,Hayir,Bekar,Hayir,Dindar,Yok,Normal,Evet,Yuksek Lisans,Anne Baba Yasamiyor
921,Cahra,Etches,18417,1,15593,14323,Armenia,Female,2000,135,11,2,1,55,4,120,6,NULL,Hayir,Bekar,Hayir,Dindar Degil,Yok,Normal,Hayir,Lise,Anne Baba Yasamiyor
929,Flint,Dittson,19255,1,6585,35283,Portugal,Male,1998,137,10,2,3,63,8,15,8,Uzaktan,Evet,Evli,Hayir,Dindar,Yok,Normal,Evet,Lisans,Anne Baba Yasamiyor
945,Tucker,Sancho,15214,1,5261,29445,Venezuela,Male,1997,173,6,NULL,3,143,NULL,15,10,Uzaktan,NULL,Evli,Hayir,Dindar,Yok,Normal,NULL,Yuksek Lisans,Anne Baba Yasamiyor
953,Sam,Maggiore,15377,1,4632,11347,Portugal,Female,1989,138,9,2,2,55,6,15,7,Uzaktan,Evet,Bekar,Hayir,Dindar Degil,Yok,Cok Iyi,Hayir,Lisans,Anne Baba Yasamiyor
961,Klarika,Townend,15104,0,6339,42940,Belarus,Female,1998,134,7,2,NULL,55,6,15,7,Tam Zamanli,Evet,Evli,Hayir,Dindar Degil,Yok,NULL,Hayir,Lisans,Anne Baba Yasamiyor
969,Ursa,Maharg,NULL,0,7728,19395,Malaysia,Female,1995,85,10,1,0,4,1,30,1,Yari Zamanli,Evet,Bekar,Hayir,Dindar Degil,Var,Normal,Evet,Lise,Anne Baba Yasamiyor
977,Linc,Joint,21432,1,17785,37285,Indonesia,Male,1989,181,6,3,3,63,8,15,8,Uzaktan,Evet,Bekar,Hayir,NULL,Yok,Cok Iyi,Evet,Yuksek Lisans,Anne Baba Yasamiyor
993,Maribel,Lafay,19317,1,7828,27681,Palestinian Territory,Female,1988,191,6,2,2,63,8,15,8,Uzaktan,Evet,Evli,Hayir,Dindar,Yok,Normal,Evet,Lisans,Baba Yasiyor
1001,Blanca,Vasilischev,14973,0,10494,46346,Indonesia,Female,1989,57,7,2,0,22,1,30,1,Uzaktan,Hayir,Bekar,Hayir,Dindar Degil,Var,Normal,Hayir,Ortaokul,Baba Yasiyor
1009,Tonye,Davidowsky,16150,1,10312,34082,United States,Female,1993,171,10,3,3,143,11,15,10,Tam Zamanli,Hayir,Bekar,Hayir,Dindar,Yok,Normal,Evet,Yuksek Lisans,Anne Baba Yasamiyor
1025,Delaney,Pinn,25707,1,3825,6188,Comoros,Male,1989,168,6,2,3,75,10,15,9,NULL,Hayir,Evli,Hayir,Dindar,Yok,Normal,Evet,Lisans,Anne Baba Yasamiyor
1049,Jodi,Tedorenko,19093,1,1692,18926,China,Male,1975,153,9,2,3,75,10,15,9,Yari Zamanli,Hayir,NULL,Hayir,Dindar,Yok,Normal,Evet,NULL,Anne Baba Yasamiyor
1065,Carissa,Ivashkov,26624,1,827,49078,Thailand,Female,1988,182,7,2,3,55,6,15,7,Uzaktan,Evet,Evli,Hayir,Dindar Degil,Yok,Normal,Evet,Lisans,Baba Yasiyor
1097,Ham,Holt,27195,0,13899,35660,Kazakhstan,Male,1979,159,6,2,0,24,2,120,5,Tam Zamanli,Hayir,Evli,Hayir,Dindar Degil,Yok,Normal,Evet,Lise,Baba Yasiyor
1105,Jammal,Ianne,25679,1,9452,5941,Serbia,Male,1979,175,7,4,3,70,10,15,9,Uzaktan,Evet,Bekar,Hayir,Dindar,Yok,Cok Iyi,Evet,Lisans,Anne Baba Yasamiyor
1113,Ashlen,Goudie,28022,0,14534,6562,Tunisia,Female,1987,180,10,NULL,1,55,4,120,6,Tam Zamanli,Hayir,Bekar,Hayir,Dindar Degil,Yok,Cok Iyi,Evet,Yuksek Lisans,Anne Baba Yasamiyor
1121,Gale,Le Monnier,16496,1,9496,40415,Indonesia,Female,1979,165,9,2,3,75,10,15,9,Tam Zamanli,Evet,Evli,Hayir,Dindar,Yok,Normal,Evet,Yuksek Lisans,Anne Baba Yasamiyor
1161,Malachi,Bendall,14820,1,1666,28410,Libya,Male,1979,173,9,2,3,63,8,15,8,Yari Zamanli,Evet,Bekar,Hayir,Dindar,Yok,Normal,NULL,Lisans,Anne Baba Yasamiyor
1177,Manon,Giacobazzi,22104,0,9318,33021,Brazil,Female,1979,79,6,2,3,NULL,6,15,7,Yari Zamanli,Hayir,Evli,Hayir,Dindar Degil,Yok,Normal,Hayir,Lisans,Anne Baba Yasamiyor
1201,Lilas,Bignal,27483,1,121,32360,Malaysia,Female,1979,165,6,2,NULL,75,10,15,9,Tam Zamanli,Hayir,Evli,Hayir,Dindar,Yok,Cok Iyi,Evet,Lisans,Anne Baba Yasamiyor
1217,Gilberte,Dingle,20490,1,13703,19145,Indonesia,Female,1957,165,9,2,2,143,11,15,10,Yari Zamanli,Hayir,Bekar,Hayir,Dindar,Yok,Cok Iyi,Evet,Yuksek Lisans,Anne Baba Yasamiyor
1257,Nichol,Clandillon,23516,0,10664,26857,Russia,Female,1979,135,6,2,5,55,6,15,7,Uzaktan,Evet,Evli,Hayir,Dindar Degil,Yok,Normal,Hayir,Yuksek Lisans,Anne Baba Yasamiyor
1265,Gerhardine,Gemlbett,17998,1,16400,16134,United States,Female,1990,170,6,4,2,NULL,11,15,10,NULL,Hayir,Evli,Hayir,NULL,Yok,Normal,Evet,Lisans,Baba Yasiyor
